NO,Date,Time,通道 1,通道 2,通道 3,通道 4
1,23/04/2021,15:09:47,0.0,0.0,0.0,0.0
2,23/04/2021,15:09:48,0.0,0.0,0.0,0.0
3,23/04/2021,15:09:49,0.0,0.0,0.0,0.0
4,23/04/2021,15:09:50,0.0,0.0,0.0,0.0
5,23/04/2021,15:09:51,22.2,21.2,22.5,0.0
6,23/04/2021,15:09:52,22.2,21.2,22.5,0.0
7,23/04/2021,15:09:53,22.1,21.2,22.5,0.0
8,23/04/2021,15:09:54,22.1,21.2,22.6,0.0
9,23/04/2021,15:09:55,22.2,21.2,22.5,0.0
10,23/04/2021,15:09:56,22.2,21.2,22.6,0.0
11,23/04/2021,15:09:57,22.2,21.1,22.6,0.0
12,23/04/2021,15:09:58,22.2,21.1,22.6,0.0
13,23/04/2021,15:09:59,22.1,21.1,22.6,0.0
14,23/04/2021,15:10:00,22.1,21.1,22.5,0.0
15,23/04/2021,15:10:01,22.2,21.1,22.5,0.0
16,23/04/2021,15:10:02,22.2,21.1,22.5,0.0
17,23/04/2021,15:10:03,22.1,21.1,22.5,0.0
18,23/04/2021,15:10:04,22.1,21.1,22.5,0.0
19,23/04/2021,15:10:05,22.2,21.2,22.5,0.0
20,23/04/2021,15:10:06,22.2,21.2,22.6,0.0
21,23/04/2021,15:10:07,22.2,21.1,22.6,0.0
22,23/04/2021,15:10:08,22.2,21.1,22.5,0.0
23,23/04/2021,15:10:09,22.3,21.1,22.6,0.0
24,23/04/2021,15:10:10,22.3,21.1,22.5,0.0
25,23/04/2021,15:10:11,22.3,21.1,22.5,0.0
26,23/04/2021,15:10:12,22.3,21.1,22.5,0.0
27,23/04/2021,15:10:13,22.2,21.1,22.6,0.0
28,23/04/2021,15:10:14,22.2,21.1,22.6,0.0
29,23/04/2021,15:10:15,22.1,21.1,22.6,0.0
30,23/04/2021,15:10:16,22.1,21.1,22.6,0.0
31,23/04/2021,15:10:17,22.3,21.1,22.5,0.0
32,23/04/2021,15:10:18,22.3,21.1,22.5,0.0
33,23/04/2021,15:10:19,22.1,21.2,22.5,0.0
34,23/04/2021,15:10:20,22.2,21.2,22.5,0.0
35,23/04/2021,15:10:21,22.2,21.1,22.5,0.0
36,23/04/2021,15:10:22,22.2,21.1,22.6,0.0
37,23/04/2021,15:10:23,22.1,21.1,22.6,0.0
38,23/04/2021,15:10:24,22.1,21.1,22.5,0.0
39,23/04/2021,15:10:25,22.2,21.1,22.6,0.0
40,23/04/2021,15:10:26,22.2,21.2,22.5,0.0
41,23/04/2021,15:10:27,22.1,21.2,22.5,0.0
42,23/04/2021,15:10:28,22.1,21.2,22.6,0.0
43,23/04/2021,15:10:29,22.2,21.1,22.6,0.0
44,23/04/2021,15:10:30,22.2,21.2,22.5,0.0
45,23/04/2021,15:10:31,22.2,21.0,22.5,0.0
46,23/04/2021,15:10:32,22.2,21.1,22.6,0.0
47,23/04/2021,15:10:33,22.2,21.2,22.6,0.0
48,23/04/2021,15:10:34,22.2,21.1,22.6,0.0
49,23/04/2021,15:10:35,22.2,21.2,22.6,0.0
50,23/04/2021,15:10:36,22.2,21.2,22.5,0.0
51,23/04/2021,15:10:37,22.2,21.2,22.5,0.0
52,23/04/2021,15:10:38,22.2,21.2,22.5,0.0
53,23/04/2021,15:10:39,22.1,21.2,22.5,0.0
54,23/04/2021,15:10:40,22.1,21.2,22.5,0.0
55,23/04/2021,15:10:41,22.2,21.2,22.5,0.0
56,23/04/2021,15:10:42,22.2,21.2,22.6,0.0
57,23/04/2021,15:10:43,22.2,21.2,22.6,0.0
58,23/04/2021,15:10:44,22.2,21.2,22.6,0.0
59,23/04/2021,15:10:45,22.2,21.2,22.6,0.0
60,23/04/2021,15:10:46,22.1,21.1,22.5,0.0
61,23/04/2021,15:10:47,22.2,21.2,22.5,0.0
62,23/04/2021,15:10:48,22.2,21.1,22.6,0.0
63,23/04/2021,15:10:49,22.2,21.1,22.6,0.0
64,23/04/2021,15:10:50,22.2,21.1,22.6,0.0
65,23/04/2021,15:10:51,22.2,21.1,22.6,0.0
66,23/04/2021,15:10:52,22.2,21.1,22.6,0.0
67,23/04/2021,15:10:53,22.2,21.2,22.6,0.0
68,23/04/2021,15:10:54,22.2,21.2,22.5,0.0
69,23/04/2021,15:10:55,22.2,21.1,22.5,0.0
70,23/04/2021,15:10:56,22.2,21.1,22.5,0.0
71,23/04/2021,15:10:57,22.1,21.1,22.5,0.0
72,23/04/2021,15:10:58,22.1,21.0,22.6,0.0
73,23/04/2021,15:10:59,22.2,21.2,22.6,0.0
74,23/04/2021,15:11:00,22.2,21.2,22.6,0.0
75,23/04/2021,15:11:01,22.1,21.2,22.6,0.0
76,23/04/2021,15:11:02,22.2,21.2,22.6,0.0
77,23/04/2021,15:11:03,22.2,21.2,22.6,0.0
78,23/04/2021,15:11:04,22.1,21.2,22.5,0.0
79,23/04/2021,15:11:05,22.2,21.2,22.5,0.0
80,23/04/2021,15:11:06,22.2,21.2,22.6,0.0
81,23/04/2021,15:11:07,22.1,21.1,22.6,0.0
82,23/04/2021,15:11:08,22.1,21.1,22.6,0.0
83,23/04/2021,15:11:09,22.1,21.2,22.6,0.0
84,23/04/2021,15:11:10,22.2,21.2,22.5,0.0
85,23/04/2021,15:11:11,22.2,21.1,22.5,0.0
86,23/04/2021,15:11:12,22.1,21.2,22.6,0.0
87,23/04/2021,15:11:13,22.1,21.1,22.6,0.0
88,23/04/2021,15:11:14,22.1,21.2,22.5,0.0
89,23/04/2021,15:11:15,22.2,21.2,22.6,0.0
90,23/04/2021,15:11:16,22.2,21.2,22.6,0.0
91,23/04/2021,15:11:17,22.2,21.2,22.6,0.0
92,23/04/2021,15:11:18,22.2,21.2,22.6,0.0
93,23/04/2021,15:11:19,22.0,21.2,22.6,0.0
94,23/04/2021,15:11:20,22.1,21.2,22.6,0.0
95,23/04/2021,15:11:21,22.1,21.2,22.6,0.0
96,23/04/2021,15:11:22,22.1,21.2,22.6,0.0
97,23/04/2021,15:11:23,22.1,21.2,22.6,0.0
98,23/04/2021,15:11:24,22.1,21.2,22.6,0.0
99,23/04/2021,15:11:25,22.1,21.2,22.6,0.0
100,23/04/2021,15:11:26,22.1,21.2,22.6,0.0
101,23/04/2021,15:11:27,22.1,21.2,22.6,0.0
102,23/04/2021,15:11:28,22.1,21.2,22.6,0.0
103,23/04/2021,15:11:29,22.1,21.1,22.6,0.0
104,23/04/2021,15:11:30,22.1,21.2,22.6,0.0
105,23/04/2021,15:11:31,22.1,21.2,22.6,0.0
106,23/04/2021,15:11:32,22.1,21.2,22.6,0.0
107,23/04/2021,15:11:33,22.1,21.2,22.6,0.0
108,23/04/2021,15:11:34,22.1,21.2,22.6,0.0
109,23/04/2021,15:11:35,22.1,21.2,22.6,0.0
110,23/04/2021,15:11:36,22.1,21.2,22.6,0.0
111,23/04/2021,15:11:37,22.1,21.2,22.6,0.0
112,23/04/2021,15:11:38,22.1,21.2,22.5,0.0
113,23/04/2021,15:11:39,22.1,21.2,22.5,0.0
114,23/04/2021,15:11:40,22.1,21.2,22.6,0.0
115,23/04/2021,15:11:41,22.1,21.2,22.6,0.0
116,23/04/2021,15:11:42,22.1,21.2,22.6,0.0
117,23/04/2021,15:11:43,22.1,21.2,22.6,0.0
118,23/04/2021,15:11:44,22.1,21.2,22.6,0.0
119,23/04/2021,15:11:45,22.1,21.2,22.6,0.0
120,23/04/2021,15:11:46,22.1,21.2,22.6,0.0
121,23/04/2021,15:11:47,22.1,21.2,22.6,0.0
122,23/04/2021,15:11:48,22.1,21.2,22.6,0.0
123,23/04/2021,15:11:49,22.1,21.2,22.6,0.0
124,23/04/2021,15:11:50,22.2,21.2,22.6,0.0
125,23/04/2021,15:11:51,22.1,21.2,22.6,0.0
